Sentiment,Processed_Text
neutral,part reorganization kauko-telko ltd divided telko ltd leipurin ltd hamina terminal services ltd kaukomarkkinat ltd.
positive,companiesnew aggreko ceo reshape business strip costs
neutral,germany 's innovational centers united focusing companies aim use technologies development new kinds activity supporting beginner companies entire spectrum services
neutral,"finnish power supply solutions systems provider efore oyj said net loss widened 3.2 mln euro 4.2 mln first quarter fiscal 2006-2007 ending october 31 2007 900,000 euro 1.2 mln period fiscal 2005-06"
positive,astrazeneca sells caprelsa rights sanofi unit
negative,stocks large players selling http //stks.co/t0vel crox gogo ino
neutral,carrier said area travel agency sell outlets sister chain suomen matkatoimisto smt use remaining bricks-and-mortar presence primarily target business customers going forward
neutral,profit taxes decreased 9 eur 187.8 mn first nine months 2008 compared eur 207.1 mn year earlier
positive,eu regulator backs approval gsk injectable asthma drug
neutral,aapl 620 resistance area
neutral,-- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- munich 14 january 2008 bavaria industriekapital ag closed acquisition elcoteq communications technology gmbh offenburg germany approval
neutral,technopolis st. petersburg 's telecommunications university russian support fund legislative initiatives signed protocol intent may year set technopark st. petersburg base st. petersburg telecommunications university
neutral,finnish property investment company citycon plans issue directed subordinated convertible bonds institutional investors
neutral,aspocomp intends set plant manufacture printed circuit boards investment rs310 crore
neutral,needed provides also information ferry connections hotels
positive,operating profit turnover six-month period increased respectively eur0 .1 eur29 .0 compared corresponding period year ago
neutral,private equity investor capman owner finnish lumene cosmetics company planning list lumene
neutral,holds 38 percent outokumpu 's shares voting rights 2001 lawmakers gave permission reduce stake 10 percent
positive,exclusive-bp china 's cnpc unveil oil alliance sources
neutral,yakima created position emerging economic downturns
negative,aapl short 592.49
negative,lloyds cut 945 jobs part three-year restructuring strategy
negative,amrn many times find top bottoms shorts start rejoicing bulls start rejoicing currently shorts rejoicing
neutral,grounds notification tiimari plc 12/30/2010 issued capital convertible loan allocation decision board 01/31/2011
neutral,organization assume responsibility operations russia
neutral,swedish maritime administration closed furusund channel viking line normally charters en route stockholm
neutral,ssh communications security corp stock exchange release october 14 2008 2:45 pm company updates full year outlook estimates results remain loss full year
neutral,buildings 40 condominiums built 4 5 stages
positive,barclays plc lloyds banking group plc 2 banks 'd buy today
neutral,finland martela offers comprehensive service cover entire process change initial inventory design removal maintenance
negative,"tesla motors recalls 2,700 model x suvs tsla https //t.co/f55dx4aegi"
neutral,company 's board directors propose dividend eur 0.14 2008 annual general meeting
neutral,last job losses related reductions take place 2010
positive,sold tza 45 put 1 hedging 45 call letting calls ride solo
negative,shares royal sun alliance continued slide back 12-month high 172p last month potential suitor ruled takeover bid
positive,vegastrader66 looks like good entry qihu
neutral,iso omena based matinkyla district southern part city espoo southern finland
positive,furthermore efficiency improvement measures initiated earlier bearing fruit `` ceo jan lang said
neutral,lcs 's services cover whole life cycle software information systems process modelling tailored software development hosting services solution management maintenance support
neutral,shareholder entitlements became effective today
positive,yhoo making new hod
positive,recovery evident liquid handling business particularly areas outside europe primarily north america asia
neutral,company operates power plants tyumen chelyabinsk regions khanty-mansi autonomous district
neutral,baltic countries sales fell 40.2 russia 23.2 terms euros 10.7 terms local currency
neutral,cash flow operations january-december 2008 negative eur 18.1 mn compared eur 39.0 mn corresponding period 2007
neutral,finnish national carrier said net loss april june euro26 million net profit euro13 million year earlier
neutral,tightened competition situation production automation market affected net sales 2006 cencorp said
positive,3-star analyst joe wittine longbow research reiterated hold rating ntap
positive,standardised services met positive reception among customers well itella
neutral,kyroskoski investment completed late 2011 +ä+ñnekoski investment spring 2012
positive,group 's cash flow operations positive
positive,7 march 2011 finnish company digia oyj hel dig1v announced today agreement mobile-phone major nokia oyj hel nok1v acquire commercial licensing service business related nokia 's qt technology
negative,operating loss totaled eur 25mn compared profit eur 63mn corresponding period 2005
positive,renewed ab inbev bid sabmiller ups stake beer battle
positive,rautaruukki corporation stock exchange release 3 december 2009 12 noon ruukki 's construction engineering divisions improve adjust operations finland
positive,etteplan targets employ least 20 people borl+ñnge
neutral,thanks extensive industry operations experience cybercom offers strategic technological expertise markets telecom industry media public sector retail banking financial services
negative,fb rejecting highs shortable ... 109
positive,astrazeneca plc dixons carphone plc red-hot growth stars
neutral,finnish automation solutions developer cencorp corporation omx helsinki cnc1v issued thursday 18 september profit warning third quarter 2008
neutral,secure files online like filling tax return making backup boring
negative,cost short finally making gains take half gains 147
positive,neon oversold
negative,situation coated magazine printing paper continue weak
positive,stockmann mastercard widened scope cooperation estonia latvia
neutral,eur 152.4 mn net interest income
